Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_54_ELS_RHS.jpg?v=1694896044,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_60_ELD_LHS_Open.jpg?v=1694896041,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_60_ELS_Front.jpg?v=1694896043,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_60_ELS_RHS.jpg?v=1694896044,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_60_SLD_LHS_Open.jpg?v=1694896043,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_60_SLS_Front.jpg?v=1694896045,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_70_ELS_Front.jpg?v=1694896042,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage-bed-chesterfield,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H4_70_ELS_RHS.jpg?v=1694896045,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ottoman-gas-lift-bed-soneros,Ottoman Gas Lift Bed Soneros,,Ottoman Beds,Furniture > Beds & Accessories > Beds & Bed Frames,Ottoman Bed,Panel Design Headboard,TRUE,Title,Default Title,,,,,,0,shopify,50,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H10_54_ELS_Front.jpg?v=1694895847,1,,FALSE,,,,,,,new,TRUE,,,,,,,lb,,,TRUE,,,TRUE,,,TRUE,,,active
ottoman-gas-lift-bed-soneros,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0818/2651/3206/files/09_0003_P4_F1_LSV2_H10_54_ELS_RHS.jpg?v=1694895846,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
